SystemCode,TransNumber,TransDate,TransType,UCode,snum,SRNNumber,SRNType,PONumber,I,ItemCode,Item_Locked,ItemStatus,AddValue,Filled_Quantity,Billed_Quantity,RCP_Quantity,ISS_Quantity,PCS_Quantity,Meter_Quantity,RCP_Price,ISS_Price,RCP_Amount,ISS_Amount,Pack_Contains,KGContains,Packing,Rate_ED_Inv,Value_ED_INV,Rate_STD_Cost,Value_STD_Cost,Rate_NSales,Value_NSales,Sale_Price,ST_Rate,ST_Value,ST_Percent,ST_Amount,ST_Percent_A,ED_Rate,ED_Value,ED_Percent,ED_Amount,Freight_Amount,OT_Amount,Avg_Rate,Avg_Amount,ReceiptCode,IssueCode,WIPCode,COGSCode,SalesTaxCode,ExciseCode,SaleCode,ProcessCode,FreightCode,OtherCode,UPBillCode,U_STDRate,U_STDR_Process,SchemeRate,SchemeAmount,SchemeGrossTotal,SchemeTransNumber,Contain,ForExRate,ForExAmount,Calc_rate,Qty_used,OQty_Used,ScheduleDate,ScheduleQty,BackLog,Current_DP,Hold,USD,OJobQty,Status,Deal_No_DT,DealSize_DT,Log_Qty,PrintedType,Deal_Price,zrno
03,22070001,7/2/2022,0,Aimal,0,,L,,,96000200492,0,0,0,3484.7,0,0,3000,0,0,0,0,0,0,3000,1,Kgs,450,1350000,0,0,0,1350000,0,0,0,0,0,0,0,1350000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,3022.3,0,7/2/2022,3000,0,0,,,0,,,,0,Un-Printed,0,32186
03,22070002,7/2/2022,0,Rabab Saleem,0,,L,,,95000102166,0,0,0,580.4,0,0,300,0,0,0,0,0,0,300,1,Kgs,300,90000,0,0,0,90000,0,0,0,0,0,0,0,90000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,290.2,0,12/30/3799,300,0,0,,,0,,,,0,Printed,0,32188
03,22070003,7/2/2022,0,Rabab Saleem,0,,L,,,95000103819,0,0,0,0,0,0,0.60518889,1000,0,0,0,0,0,0.60518889,1,Pcs,0.1,100,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,,0,,,,0,Printed,0,32189
03,22070004,7/2/2022,0,Rabab Saleem,0,,L,,,95000703198,0,0,0,2500,0,0,1250,0,0,0,0,0,0,1250,1,Kgs,442.2,552750,0,0,0,552750,0,0,0,0,0,0,0,552750,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,1250,0,1/0/1900,1250,0,0,,,0,,,,0,Printed,0,32194
03,22070005,7/2/2022,0,Rabab Saleem,0,,L,,,95000703748,0,0,0,4,0,0,5,0,0,0,0,0,0,5,1,Kgs,0.1,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,2,0,12/30/3799,5,0,0,,,0,,,,0,Printed,0,32192
03,22070006,7/2/2022,0,Rabab Saleem,0,,L,,,95000103749,0,0,0,1809.7,0,0,1000,0,0,0,0,0,0,1000,1,Kgs,712,712000,0,0,0,712000,0,0,0,0,0,0,0,712000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,904.85,0,12/30/3799,1000,0,0,,,0,,,,0,Printed,0,32272
03,22070007,7/2/2022,0,Rabab Saleem,0,,L,,,95000103750,0,0,0,1336.89,0,0,1000,0,0,0,0,0,0,1000,1,Kgs,712,712000,0,0,0,712000,0,0,0,0,0,0,0,712000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,871.59,0,12/30/3799,1000,0,0,,,0,,,,0,Printed,0,32273
03,22070008,7/2/2022,0,Rabab Saleem,0,,L,,,95000103382,0,0,0,3754.8,0,0,4000,0,0,0,0,0,0,4000,1,Kgs,712,2848000,0,0,0,2848000,0,0,0,0,0,0,0,2848000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,3754.8,0,1/0/1900,4000,0,0,,,0,,,,0,Printed,0,36007
03,22070009,7/2/2022,0,Rabab Saleem,0,,L,,,95000103752,0,0,0,3316.33,0,0,2500,0,0,0,0,0,0,2500,1,Kgs,712,1780000,0,0,0,1780000,0,0,0,0,0,0,0,1780000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,2247.38,0,12/30/3799,2500,0,0,,,0,,,,0,Printed,0,32275
03,22070010,7/2/2022,0,Rabab Saleem,0,,L,,,95000103408,0,0,0,533.03,0,0,500,0,0,0,0,0,0,500,1,Kgs,715,357500,0,0,0,357500,0,0,0,0,0,0,0,357500,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,533.03,0,,530,0,0,,,0,,,,0,Printed,0,34401
